Jason Smith,New Orleans Hornets,2013,26,16.8
Darius Miller,New Orleans Hornets,2013,22,6.3
Lance Thomas,New Orleans Hornets,2013,24,10.1
Xavier Henry,New Orleans Hornets,2013,21,7.6
Lou Amundson,New Orleans Hornets,2013,30,11.7
Dominic McGuire,New Orleans Hornets,2013,27,9.1
Terrel Harris,New Orleans Hornets,2013,25,-6.8
Hakim Warrick,New Orleans Hornets,2013,30,28.8
Donald Sloan,New Orleans Hornets,2013,25,-3.3
Henry Sims,New Orleans Hornets,2013,22,29.2
Marco Belinelli,New Orleans Hornets,2012,25,11.9
Greivis Vasquez,New Orleans Hornets,2012,25,14.2
Jarrett Jack,New Orleans Hornets,2012,28,17.9
Al-Farouq Aminu,New Orleans Hornets,2012,21,10.6
Chris Kaman,New Orleans Hornets,2012,29,15.3
Trevor Ariza,New Orleans Hornets,2012,26,14.2
Gustavo Ayon,New Orleans Hornets,2012,26,16.7
Carl Landry,New Orleans Hornets,2012,28,18.2
Jason Smith,New Orleans Hornets,2012,25,16.6
Emeka Okafor,New Orleans Hornets,2012,29,15.1
Xavier Henry,New Orleans Hornets,2012,20,9.2
Lance Thomas,New Orleans Hornets,2012,23,10.1
Eric Gordon,New Orleans Hornets,2012,23,19.2
DaJuan Summers,New Orleans Hornets,2012,24,9.0
Solomon Jones,New Orleans Hornets,2012,27,11.0
Jerome Dyson,New Orleans Hornets,2012,24,11.3
Carldell Johnson,New Orleans Hornets,2012,29,8.9
Darryl Watkins,New Orleans Hornets,2012,27,10.8
Chris Johnson,New Orleans Hornets,2012,26,10.1
Trey Johnson,New Orleans Hornets,2012,27,11.8
Donald Sloan,New Orleans Hornets,2012,24,8.0
Jeff Foote,New Orleans Hornets,2012,24,-0.9
Kevin Martin,Houston Rockets,2011,27,21.4
Kyle Lowry,Houston Rockets,2011,24,16.5
Luis Scola,Houston Rockets,2011,30,18.4
Chuck Hayes,Houston Rockets,2011,27,16.2
Shane Battier,Houston Rockets,2011,32,12.9
Chase Budinger,Houston Rockets,2011,22,14.2
Courtney Lee,Houston Rockets,2011,25,12.6
Jordan Hill,Houston Rockets,2011,23,13.0
Brad Miller,Houston Rockets,2011,34,16.3
Patrick Patterson,Houston Rockets,2011,21,16.7
Aaron Brooks,Houston Rockets,2011,26,11.7
Goran Dragic,Houston Rockets,2011,24,17.7
Ish Smith,Houston Rockets,2011,22,8.8
Jared Jeffries,Houston Rockets,2011,29,9.5
Yao Ming,Houston Rockets,2011,30,19.8
Terrence Williams,Houston Rockets,2011,23,8.6
Jermaine Taylor,Houston Rockets,2011,24,13.3
Mike Harris,Houston Rockets,2011,27,17.9
DeMarre Carroll,Houston Rockets,2011,24,-4.5
Hasheem Thabeet,Houston Rockets,2011,23,-13.6
Mike Conley,Memphis Grizzlies,2011,23,15.9
Zach Randolph,Memphis Grizzlies,2011,29,22.6
Marc Gasol,Memphis Grizzlies,2011,26,16.8
Rudy Gay,Memphis Grizzlies,2011,24,17.8
O.J. Mayo,Memphis Grizzlies,2011,23,12.6
Darrell Arthur,Memphis Grizzlies,2011,22,15.7
Sam Young,Memphis Grizzlies,2011,25,12.5
Tony Allen,Memphis Grizzlies,2011,29,18.3
Greivis Vasquez,Memphis Grizzlies,2011,24,9.4
Shane Battier,Memphis Grizzlies,2011,32,10.6
Xavier Henry,Memphis Grizzlies,2011,19,7.0
Hasheem Thabeet,Memphis Grizzlies,2011,23,4.9
Hamed Haddadi,Memphis Grizzlies,2011,25,19.7
Leon Powe,Memphis Grizzlies,2011,27,17.8
Jason Williams,Memphis Grizzlies,2011,35,8.2
Ish Smith,Memphis Grizzlies,2011,22,4.3
Acie Law,Memphis Grizzlies,2011,26,0.4
DeMarre Carroll,Memphis Grizzlies,2011,24,12.4
Rodney Carney,Memphis Grizzlies,2011,26,20.4
Chris Paul,New Orleans Hornets,2011,25,23.7
Trevor Ariza,New Orleans Hornets,2011,25,11.3
David West,New Orleans Hornets,2011,30,20.4
Emeka Okafor,New Orleans Hornets,2011,28,16.0
Marco Belinelli,New Orleans Hornets,2011,24,12.1
Willie Green,New Orleans Hornets,2011,29,10.8
Jarrett Jack,New Orleans Hornets,2011,27,14.6
Jason Smith,New Orleans Hornets,2011,24,10.8
Marcus Thornton,New Orleans Hornets,2011,23,14.0
Quincy Pondexter,New Orleans Hornets,2011,22,8.5
Carl Landry,New Orleans Hornets,2011,27,15.2
Aaron Gray,New Orleans Hornets,2011,26,11.0
Didier Ilunga-Mbenga,New Orleans Hornets,2011,30,9.7
David Andersen,New Orleans Hornets,2011,30,8.9
Jerryd Bayless,New Orleans Hornets,2011,22,7.2
Peja Stojakovic,New Orleans Hornets,2011,33,16.7
Sasha Pavlovic,New Orleans Hornets,2011,27,2.9
Pops Mensah-Bonsu,New Orleans Hornets,2011,27,-0.1
Patrick Ewing,New Orleans Hornets,2011,26,0.6
Jason Kidd,Dallas Mavericks,2011,37,14.4
Jason Terry,Dallas Mavericks,2011,33,15.9
Dirk Nowitzki,Dallas Mavericks,2011,32,23.4
Shawn Marion,Dallas Mavericks,2011,32,17.0
Tyson Chandler,Dallas Mavericks,2011,28,18.4
J.J. Barea,Dallas Mavericks,2011,26,14.8
Brendan Haywood,Dallas Mavericks,2011,31,11.7
DeShawn Stevenson,Dallas Mavericks,2011,29,9.8
Caron Butler,Dallas Mavericks,2011,30,14.2
Brian Cardinal,Dallas Mavericks,2011,33,9.7
Peja Stojakovic,Dallas Mavericks,2011,33,14.1
Rodrigue Beaubois,Dallas Mavericks,2011,22,11.4
Ian Mahinmi,Dallas Mavericks,2011,24,13.7
Sasha Pavlovic,Dallas Mavericks,2011,27,7.8
Corey Brewer,Dallas Mavericks,2011,24,17.6
Dominique Jones,Dallas Mavericks,2011,22,10.6
Alexis Ajinca,Dallas Mavericks,2011,22,12.8
Steve Novak,Dallas Mavericks,2011,27,19.6
Tony Parker,San Antonio Spurs,2011,28,20.4
Richard Jefferson,San Antonio Spurs,2011,30,12.4
Manu Ginobili,San Antonio Spurs,2011,33,21.7
Tim Duncan,San Antonio Spurs,2011,34,21.9
George Hill,San Antonio Spurs,2011,24,14.6
DeJuan Blair,San Antonio Spurs,2011,21,17.1
Gary Neal,San Antonio Spurs,2011,26,13.1
Matt Bonner,San Antonio Spurs,2011,30,13.5
Antonio McDyess,San Antonio Spurs,2011,36,12.8
Tiago Splitter,San Antonio Spurs,2011,26,16.0
Chris Quinn,San Antonio Spurs,2011,27,7.5
James Anderson,San Antonio Spurs,2011,21,8.5
Steve Novak,San Antonio Spurs,2011,27,17.7
Ime Udoka,San Antonio Spurs,2011,33,5.3
Danny Green,San Antonio Spurs,2011,23,13.2
Larry Owens,San Antonio Spurs,2011,28,11.9
Garrett Temple,San Antonio Spurs,2011,24,0.6
Alonzo Gee,San Antonio Spurs,2011,23,-2.1
Bobby Simmons,San Antonio Spurs,2011,30,-5.5
Othyus Jeffers,San Antonio Spurs,2011,25,-0.5
Beno Udrih,Sacramento Kings,2011,28,15.7
DeMarcus Cousins,Sacramento Kings,2011,20,14.6
Tyreke Evans,Sacramento Kings,2011,21,14.4
Samuel Dalembert,Sacramento Kings,2011,29,14.1
Jason Thompson,Sacramento Kings,2011,24,13.6
Omri Casspi,Sacramento Kings,2011,22,11.7
Carl Landry,Sacramento Kings,2011,27,14.7
Francisco Garcia,Sacramento Kings,2011,29,13.5
Donte Greene,Sacramento Kings,2011,22,9.7
Marcus Thornton,Sacramento Kings,2011,23,18.2
Eugene Jeter,Sacramento Kings,2011,27,11.1
Luther Head,Sacramento Kings,2011,28,11.7
Darnell Jackson,Sacramento Kings,2011,25,12.3
Jermaine Taylor,Sacramento Kings,2011,24,12.0
Antoine Wright,Sacramento Kings,2011,26,-4.8
Hassan Whiteside,Sacramento Kings,2011,21,-17.9
Blake Griffin,Los Angeles Clippers,2011,21,21.9
Eric Gordon,Los Angeles Clippers,2011,22,18.5
Ryan Gomes,Los Angeles Clippers,2011,28,9.0
DeAndre Jordan,Los Angeles Clippers,2011,22,14.8
Eric Bledsoe,Los Angeles Clippers,2011,21,10.8
Randy Foye,Los Angeles Clippers,2011,27,11.4
Al-Farouq Aminu,Los Angeles Clippers,2011,20,9.6
Baron Davis,Los Angeles Clippers,2011,31,16.3
Chris Kaman,Los Angeles Clippers,2011,28,15.7
Rasual Butler,Los Angeles Clippers,2011,31,5.9
Mo Williams,Los Angeles Clippers,2011,28,14.0
Craig Smith,Los Angeles Clippers,2011,27,15.4
Ike Diogu,Los Angeles Clippers,2011,27,13.7
Brian Cook,Los Angeles Clippers,2011,30,11.6
Jamario Moon,Los Angeles Clippers,2011,30,8.4
Jarron Collins,Los Angeles Clippers,2011,32,1.8
Willie Warren,Los Angeles Clippers,2011,21,10.8
Monta Ellis,Golden State Warriors,2011,25,18.6
Dorell Wright,Golden State Warriors,2011,25,15.0
David Lee,Golden State Warriors,2011,27,17.8
Stephen Curry,Golden State Warriors,2011,22,19.4
Reggie Williams,Golden State Warriors,2011,24,14.9
Andris Biedrins,Golden State Warriors,2011,24,12.1
Vladimir Radmanovic,Golden State Warriors,2011,30,12.6
Channing Frye,Phoenix Suns,2011,27,12.8
Steve Nash,Phoenix Suns,2011,36,20.8
Grant Hill,Phoenix Suns,2011,38,14.7
Jared Dudley,Phoenix Suns,2011,25,15.6
Marcin Gortat,Phoenix Suns,2011,26,18.8
Hakim Warrick,Phoenix Suns,2011,28,16.5
Vince Carter,Phoenix Suns,2011,34,14.2
Robin Lopez,Phoenix Suns,2011,22,13.9
Josh Childress,Phoenix Suns,2011,27,13.0
Goran Dragic,Phoenix Suns,2011,24,11.2
Jason Richardson,Phoenix Suns,2011,30,19.1
Mickael Pietrus,Phoenix Suns,2011,28,10.8
Hedo Turkoglu,Phoenix Suns,2011,31,13.1
Aaron Brooks,Phoenix Suns,2011,26,15.6
Zabian Dowdell,Phoenix Suns,2011,26,11.7
Earl Barron,Phoenix Suns,2011,29,1.5
Garret Siler,Phoenix Suns,2011,24,13.5
Earl Clark,Phoenix Suns,2011,23,11.3
Gani Lawal,Phoenix Suns,2011,22,-9.1
Pau Gasol,Los Angeles Lakers,2011,30,23.3
Kobe Bryant,Los Angeles Lakers,2011,32,23.9
Lamar Odom,Los Angeles Lakers,2011,31,19.4
Metta World Peace,Los Angeles Lakers,2011,31,11.2
Derek Fisher,Los Angeles Lakers,2011,36,8.9
Steve Blake,Los Angeles Lakers,2011,30,7.5
Shannon Brown,Los Angeles Lakers,2011,25,13.6
Andrew Bynum,Los Angeles Lakers,2011,23,21.1
Matt Barnes,Los Angeles Lakers,2011,30,14.6
Luke Walton,Los Angeles Lakers,2011,30,5.1
Derrick Caracter,Los Angeles Lakers,2011,22,10.0
Devin Ebanks,Los Angeles Lakers,2011,21,19.4
Theo Ratliff,Los Angeles Lakers,2011,37,4.4
Sasha Vujacic,Los Angeles Lakers,2011,26,3.4
Joe Smith,Los Angeles Lakers,2011,35,2.1
Trey Johnson,Los Angeles Lakers,2011,26,16.2
Kevin Love,Minnesota Timberwolves,2011,22,24.3
Michael Beasley,Minnesota Timberwolves,2011,22,15.5
Luke Ridnour,Minnesota Timberwolves,2011,29,15.0
Wesley Johnson,Minnesota Timberwolves,2011,23,10.2
Darko Milicic,Minnesota Timberwolves,2011,25,12.2
Anthony Tolliver,Minnesota Timberwolves,2011,25,13.3
Corey Brewer,Minnesota Timberwolves,2011,24,10.3
Wayne Ellington,Minnesota Timberwolves,2011,23,8.6
Martell Webster,Minnesota Timberwolves,2011,24,12.4
Jonny Flynn,Minnesota Timberwolves,2011,21,7.1
Nikola Pekovic,Minnesota Timberwolves,2011,25,11.2
